;Unnamed: 0;tconst;primaryTitle;originalTitle;startYear;endYear;runtimeMinutes;numVotes;label;genre
0;29;tt0015224;Peter Pan;;1924;0;105;1042.0;TRUE;Adventure, Family, Fantasy
1;35;tt0015864;The Gold Rush;;1925;0;95;107475.0;TRUE;Adventure, Comedy, Drama
2;37;tt0016029;The Little Colonel;;1935;0;81;1646.0;TRUE;Comedy, Family, Musical
3;82;tt0021309;The Story of the Fox;Le roman de Renard;1937;0;63;;TRUE;Animation, Adventure, Comedy
4;93;tt0022395;The Skin Game;;1931;0;85;;FALSE;Drama
5;96;tt0022485;Tokyo Chorus;;\N;1931;90;1364.0;TRUE;Comedy, Drama
6;97;tt0022550;Waterloo Bridge;Waterloo Bridge;1931;0;81;2828.0;TRUE;Drama, Romance
7;101;tt0022802;The Dark Horse;;1932;0;75;1232.0;TRUE;Comedy
8;102;tt0022913;Freaks;;1932;0;64;44794.0;TRUE;Drama, Horror
9;108;tt0023634;I Wás Bớrn, Bút...;;1932;0;100;5332.0;TRUE;Comedy, Drama
10;110;tt0023686;Whát Pricé Hớllywớớd?;;1932;0;88;2294.0;TRUE;Drama
11;124;tt0024188;Islánd ớf Lớst Sớúls;;1932;0;70;9091.0;TRUE;Horror, Sci-Fi
12;127;tt0024264;Little Women;Little Women;1933;0;115;;TRUE;Drama, Family, Romance
13;130;tt0024617;The Story of Temple Drake;The Story of Temple Drake;\N;1933;70;1448.0;TRUE;Drama
14;131;tt0024844;L'Atalante;;1934;0;89;15408.0;TRUE;Comedy, Drama, Romance
15;132;tt0024852;March of the Wooden Soldiers;;1934;0;77;6625.0;TRUE;Comedy, Family, Fantasy
16;134;tt0024966;Chápáyév;Chapaev;1934;0;93;1249.0;TRUE;Biography, Drama, History
17;149;tt0026104;Becky Sharp;;1935;0;84;1074.0;FALSE;Drama, Romance, War
18;185;tt0028683;Camille;;1936;0;109;7823.0;TRUE;Drama, Romance
19;200;tt0029442;The Prisoner of Zenda;The Prisoner of Zenda;1937;0;101;;TRUE;Adventure, Drama, Romance
20;206;tt0029942;Boys Town;Boys Town;1938;0;96;5544.0;TRUE;Biography, Drama, Family
21;237;tt0031580;The Little Princess;The Little Princess;1939;0;93;5980.0;TRUE;Comedy, Drama, Family
22;240;tt0031750;The Old Maid;;1939;0;95;3676.0;TRUE;Drama
23;247;tt0031971;Stagecoach;;1939;0;96;46868.0;TRUE;Adventure, Drama, Western
24;251;tt0032152;You Can't Cheat an Honest Man;;1939;0;79;;TRUE;Comedy, Family
25;252;tt0032155;Yớúng Mr. Lincớln;;1939;0;100;7926.0;TRUE;Biography, Drama, History
26;258;tt0032325;Charlie Chan in Panama;Charlie Chan in Panama;\N;1940;67;1365.0;TRUE;Adventure, Mystery
27;259;tt0032338;Christmas in July;;1940;0;67;3706.0;TRUE;Comedy, Romance
28;281;tt0033253;The Westerner;The Westerner;\N;1940;100;5663.0;TRUE;Western
29;282;tt0033317;Adventures of Captain Marvel;Adventures of Captain Marvel;1941;0;216;1268.0;TRUE;Action, Adventure, Family
30;283;tt0033373;Báll ớf Firé;Ball of Fire;1941;0;111;12007.0;TRUE;Comedy, Romance
31;291;tt0033723;Hold That Ghost;;1941;0;86;3699.0;TRUE;Comedy, Horror
32;311;tt0034546;Bớwéry át Midnight;;1942;0;61;1090.0;FALSE;Crime, Thriller
33;323;tt0035017;Carnival of Sinners;;1943;0;78;1378.0;TRUE;Fantasy, Horror
34;329;tt0035211;Thé Pridé ớf thé Yánkéés;The Pride of the Yankees;\N;1942;128;10584.0;TRUE;Biography, Drama, Romance
35;340;tt0035753;Le Corbeau;Le corbeau;1943;0;92;9612.0;TRUE;Crime, Drama, Mystery
36;343;tt0035979;Heaven Can Wait;Heaven Can Wait;1943;0;112;10637.0;TRUE;Comedy, Drama, Fantasy
37;370;tt0037077;The Miracle of Morgan's Creek;The Miracle of Morgan's Creek;1944;0;98;7330.0;TRUE;Comedy, Romance, War
38;380;tt0037469;Thé Wớmán in thé Windớw;;1944;0;107;15428.0;TRUE;Crime, Drama, Film-Noir
39;384;tt0037630;Les Dames du Bois de Boulogne;Les dames du Bois de Boulogne;1945;0;86;4227.0;TRUE;Drama, Romance
40;406;tt0038700;The Locket;The Locket;1946;0;85;2567.0;TRUE;Crime, Drama, Film-Noir
41;408;tt0038762;My Darling Clementine;;\N;1946;97;22867.0;TRUE;Drama, Romance, Western
42;411;tt0038824;Panique;;1946;0;99;1874.0;TRUE;Crime, Drama
43;413;tt0038890;Rome, Open City;Roma città aperta;\N;1945;103;25426.0;TRUE;Drama, Thriller, War
44;417;tt0038965;Somewhere in the Night;Somewhere in the Night;1946;0;110;2811.0;TRUE;Crime, Drama, Film-Noir
45;420;tt0038991;The Stranger;;1946;0;95;25729.0;TRUE;Crime, Drama, Film-Noir
46;439;tt0039661;Nightmare Alley;;1947;0;110;8908.0;TRUE;Drama, Film-Noir
47;441;tt0039668;Nosotros los pobres;Nosotros los pobres;1948;0;128;1034.0;TRUE;Drama
48;453;tt0040068;Abbott and Costello Meet Frankenstein;;1948;0;83;17153.0;TRUE;Comedy, Family, Fantasy
49;490;tt0041513;Intruder in the Dust;Intruder in the Dust;1949;0;87;2201.0;TRUE;Crime, Drama, Family
50;497;tt0041841;Sands of Iwo Jima;;1949;0;100;10204.0;TRUE;Action, Drama, Romance
51;518;tt0042788;Night and the City;;1950;0;101;13068.0;TRUE;Crime, Film-Noir, Mystery
52;538;tt0043614;Thé Idiớt;;1951;0;166;4929.0;TRUE;Drama, Romance
53;557;tt0044420;The Big Trees;The Big Trees;1952;0;89;1611.0;FALSE;Western
54;566;tt0044937;My Cớúsin Ráchél;My Cousin Rachel;\N;1952;98;2759.0;TRUE;Drama, Mystery, Romance
55;571;tt0045112;The Life of Oharu;Saikaku ichidai onna;1952;0;148;;TRUE;Drama
56;580;tt0045518;Arrowhead;Arrowhead;1953;0;105;1399.0;FALSE;Drama, Romance, Western
57;610;tt0046816;The Caine Mutiny;The Caine Mutiny;1954;0;124;26940.0;TRUE;Drama, War
58;611;tt0046874;The Country Girl;;1954;0;104;5845.0;TRUE;Drama, Music
59;612;tt0046878;Crime Wave;Crime Wave;1953;0;73;3642.0;TRUE;Crime, Drama, Film-Noir
60;613;tt0046912;Dial M for Murder;;1954;0;105;168570.0;TRUE;Crime, Thriller
61;615;tt0047094;Hobson's Choice;Hobson's Choice;1954;0;108;7112.0;TRUE;Comedy, Drama, Romance
62;626;tt0047528;Lá Strádá;;1954;0;108;61397.0;TRUE;Drama
63;655;tt0048545;Rebel Without a Cause;;1955;0;111;87634.0;TRUE;Drama
64;670;tt0049010;Bigger Than Life;Bigger Than Life;1956;0;95;;TRUE;Drama
65;674;tt0049147;Dớbrý vớják Svéjk;Dobrý voják Svejk;1957;0;108;1223.0;TRUE;War, Comedy
66;675;tt0049201;The Fastest Gun Alive;;1956;0;89;3023.0;TRUE;Drama, Western
67;695;tt0049710;Samurai III: Duel at Ganryu Island;Miyamoto Musashi kanketsuhen: kettô Ganryûjima;1956;0;105;5906.0;TRUE;Action, Adventure, Drama
68;702;tt0049866;Toto, Peppino, and the Hussy;Totò, Peppino e la... malafemmina;1956;0;106;1806.0;TRUE;Comedy, Musical, Romance
69;707;tt0050147;Attack of the Crab Monsters;Attack of the Crab Monsters;1957;0;63;3242.0;FALSE;Horror, Sci-Fi
70;723;tt0050610;Kronos;Kronos;1957;0;78;1763.0;FALSE;Action, Drama, Horror
71;742;tt0051398;The Barbarian and the Geisha;;1958;0;105;1924.0;FALSE;Adventure, Drama, History
72;748;tt0051720;Equinox Flower;;1958;0;118;;TRUE;Comedy, Drama
73;754;tt0051866;Thé Linéúp;;1958;0;86;3601.0;TRUE;Crime, Drama, Film-Noir
74;763;tt0052077;Plan 9 from Outer Space;;1957;0;79;37818.0;FALSE;Horror, Sci-Fi
75;767;tt0052156;The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent;The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent;1957;0;66;;FALSE;Action, Adventure, Fantasy
76;772;tt0052286;Terror from the Year 5000;Terror from the Year 5000;1958;0;66;1401.0;FALSE;Sci-Fi
77;773;tt0052289;The Thing That Couldn't Die;;1958;0;69;1720.0;FALSE;Horror
78;776;tt0052378;Wár ớf thé Cớlớssál Béást;War of the Colossal Beast;1958;0;69;2266.0;FALSE;Horror, Sci-Fi
79;799;tt0052961;Kapo;;1960;0;117;2232.0;TRUE;Drama, War
80;800;tt0052969;The Killer Shrews;;1959;0;69;4912.0;FALSE;Horror, Sci-Fi
81;802;tt0052997;The League of Gentlemen;The League of Gentlemen;1960;0;116;4394.0;TRUE;Comedy, Crime, Drama
82;804;tt0053039;Thé Fácts ớf Múrdér;Un maledetto imbroglio;1959;0;115;1204.0;TRUE;Crime, Drama, Mystery
83;806;tt0053065;Middle of the Night;Middle of the Night;1959;0;118;1232.0;TRUE;Drama
84;822;tt0053390;Floating Weeds;Ukikusa;1959;0;119;7756.0;TRUE;Drama
85;852;tt0054067;Black Sunday;;1960;0;87;14926.0;TRUE;Horror
86;870;tt0054357;Swiss Family Robinson;;1960;0;126;15495.0;TRUE;Adventure, Family
